Codice;"Descrizione articoli";"U.M.";Quantità
1114020;"Comair IsocomPlus+ Condotto isolato Øe200 Øi172";pz;6;"Comair IsocomPlus+ Condotto isolato Øe200 "
Øi172
1114026;"Comair IsocomPlus+ Manicotto in gomma (EPDM) Ø200";pz;6;"Comair IsocomPlus+ Manicotto in gomma (EPDM) "
Ø200
2006000048;"IsocomPlus+ Curva a 90° Ø200 mm";pz;12;"IsocomPlus+ Curva a 90° Ø200 mm"
1114002;"Comair IsocomPlus+ Curva a 90° Øe160 Øi123";pz;1;"Comair IsocomPlus+ Curva a 90° Øe160 Øi123"
1114004;"Comair IsocomPlus+ Curva a 45° Øe160 - Øi123";pz;2;"Comair IsocomPlus+ Curva a 45° Øe160 - Øi123"
2005000447;"UniflexPlus+ Diffusore a dislocamento 300x150";pz;2;"UniflexPlus+ Diffusore a dislocamento 300x150"
VMC-AD300-4-0301500;"VMC AD-3004 300x150 Bocchetta RAL9010 per VMC";pz;1;"VMC AD-3004 300x150 Bocchetta RAL9010 per "
VMC
2005000353;"UniflexPlus+ Bocchetta 200x100,alette fisse,bianca";pz;1;"UniflexPlus+ Bocchetta 200x100,alette fisse,bianca"
1114030;"Comair IsocomPlus+ Riduz in EPDM da Øe200 a Øi46";pz;2;"Comair IsocomPlus+ Riduz in EPDM da Øe200 a "
Øi46
2006000053;"IsocomPlus+ Manicotto in gomma Ø160 mm";pz;2;"IsocomPlus+ Manicotto in gomma Ø160 mm"
2006000054;"IsocomPlus+ Manicotto in gomma Ø200 mm";pz;10;"IsocomPlus+ Manicotto in gomma Ø200 mm"
