"Codice articolo";Descrizione;Quantità;03035080047;UM;Prezzo;"Sc % ";03035080047;Importo;IVA%
PartitaIVA;CodiceFiscale
"FAR6055 80201";"ADATTATORE TUBO MULTISTRATO 20 X 2.5 ";"10,00";PZ;"4,46";50+8;"20,52";22
"CALOTTA CROMATA"
"FAR6055 80204";"ADATTATORE TUBO MULTISTRATO 20 X 2   ";"10,00";PZ;"4,46";50+8;"20,52";22
"CALOTTA CROMATA"
"FAR6055 58200";"ADATTATORE TUBO MULTISTRATO 16 X 2.25 ";"10,00";PZ;"4,46";50+8;"20,52";22
"CALOTTA CROMATA"
"FAR6055 58190";"ADATTATORE TUBO MULTISTRATO 16 X 2 (";"10,00";PZ;"4,46";50+8;"20,52";22
"12X16) CALOTTA CROMATA"
VIE128425;"Bocchettone diritto   D. F 35 x 1""1/4 M  ";"3,00";PZ;"64,34";50+8;"88,79";22
"bronzo/lucido  ACQUA"
VIE291983;"Raccordo a Tee  D. 35  rame/lucido  ACQUA";"3,00";PZ;"28,55";50+8;"39,40";22
VIE345976;"Raccordo a Tee  D. 35  rame/lucido  GAS";"7,00";PZ;"29,22";50+8;"94,09";22
VIE298111;"Manicotto diritto   D. F 35 x 1"" F  bronzo/lucido  ";"5,00";PZ;"32,08";50+8;"73,78";22
ACQUA
MAS59003201;"PRESSMASTER - Manicotto maschio 1"" 32x3";"20,00";PZ;"18,04";50+8;"165,97";22
"FAR2191 11403";"COLLETTORE 3+1 PER CENTRALE TERMICA ";"1,00";PZ;"628,04";50+8;"288,90";22
"CON GUSCIO ANTICONDENSA"
"FAR2171 1130EA";"GRUPPO DI RILANCIO PER ALTA TEMPERATURA ";"3,00";PZ;"675,00";50+8;"931,50";22
"INT. 130 MM CIRCOLATORE ELETTR. 1-7 M"
"FAR2206 1";"DEFANGATORE 1'' F-F COMPLETO DI MAGNETI E ";"1,00";PZ;"167,99";50+8;"77,28";22
COIBENTAZIONE
"FAR2163 114";"SEPARATORE IDRAULICO INT.125 MM ";"1,00";PZ;"362,88";50+8;"166,92";22
"COMPLETO DI BOCCHETTONI 1""1/4"
MAS59063201;"PRESSMASTER - Gomito doppio 32x3";"20,00";"10,00";PZ;"21,12";"19,92";50+8;"194,30";"91,63";22
MAS59013201;Vettore;"PRESSMASTER - Manicotto femmina 1"" 32x3";"Data partenza";"10,00";PZ;"Ora partenza";"19,92";Firma;50+8;"91,63";22
"Codice articolo";Descrizione;Quantità;03035080047;UM;Prezzo;"Sc % ";03035080047;Importo;IVA%
PartitaIVA;CodiceFiscale
CAL588060;"RACCORDO DIRITTO 3 PEZZI OTTONE  1""";"5,00";"5,00";PZ;"16,57";"21,25";50+8;"38,11";"48,88";22
CAL588160;"RACCORDO CURVO 3 PEZZI OTTONE  1""";"10,00";"5,00";PZ;"21,25";"3,27";50+8;"48,88";"15,06";22
RCE0740;"92 GOMITO 90º MF  1""";"10,00";"10,00";PZ;"3,27";"2,56";50+8;"15,06";"11,78";22
RCE0510;"90 GOMITO 90º FF  1""";"10,00";"10,00";PZ;"2,56";"2,03";50+8;"11,78";"9,33";22
RCE2890;"280 VITE DOPPIA  1""";"10,00";"5,00";PZ;"2,03";"3,58";50+8;"9,33";"8,22";22
RCE1100;"130 TEE 90º  1""";"5,00";"5,00";PZ;"3,58";"3,81";50+8;"8,22";"8,75";22
RCE1330;"130 TEE 90º RID. 1""x3/4""x1""";"5,00";"5,00";PZ;"3,81";"3,48";50+8;"8,75";"8,01";22
RCE1290;"130 TEE 90º RID. 1""x1/2""x1""";"5,00";"1,00";PZ;"10,97";"3,48";50+8;"8,01";"5,05";22
ITP1000034;"VALVOLA DI RITEGNO EUROPA 3/4""";"1,00";"1,00";PZ;"10,97";"14,78";50+8;"5,05";"6,80";22
ITP1000100;"VALVOLA DI RITEGNO EUROPA 1""";"1,00";"1,00";PZ;"14,78";"66,22";50+8;"30,46";"6,80";22
ZIL11A0002400;"VASO HYDRO-PRO LT. 24 CE";"1,00";"1,00";PZ;"114,38";"66,22";50+8;"30,46";"52,61";22
ZIL1301003500;"VASO CAL-PRO ""CE ITALIA""  4 BAR  LT. 35";"10,00";"1,00";PZ;"114,38";"2,70";50+8;"52,61";"12,42";22
"FAR5010 12";"NIPLEX M 1/2'' RAME CROMATO";"10,00";"10,00";PZ;"2,70";"2,78";50+8;"12,42";"12,79";22
"FAR5060 12";"NIPLEX F 1/2'' RAME CROMATO";"10,00";"5,00";PZ;"2,78";"6,21";50+8;"12,79";"14,28";22
CAL588040;"RACCORDO DIRITTO 3 PEZZI OTTONE  1/2""";"5,00";PZ;"6,21";50+8;"14,28";22
